id,description,amount,category
1,Sales Revenue,,income
2,Utility Expense,95076.36,expense
3,Service Income,73226.19,income
4,Salary Expense,59905.98,expense
5,Equipment,15686.26,asset
6,Rent Expense,15683.85,expense
7,Interest Income,5902.55,income
8,Service Income,86631.0,income
9,Accounts Receivable,60151.39,asset
10,Loan Payable,70836.45,liability
11,Interest Income,2156.39,income
12,Interest Income,96993.99,income
13,Sales Revenue,83261.02,income
14,Sales Revenue,21312.68,income
15,Loan Payable,18264.31,liability
16,Service Income,18422.11,income
17,Loan Payable,30493.8,liability
18,Interest Income,52523.17,income
19,Loan Payable,43251.31,liability
20,Accounts Receivable,29193.79,asset
21,Prepaid Expense,61224.1,asset
22,Accounts Payable,14035.44,liability
23,Marketing Expense,,expense
24,Marketing Expense,36699.55,expense
25,Inventory,45661.39,asset
26,Tax Payable,78539.08,liability
27,Interest Income,20047.41,income
28,Inventory,51472.02,asset
29,Equipment,59282.22,asset
30,Service Income,4740.4,income
31,Equipment,60793.73,asset
32,Utility Expense,17135.36,expense
33,Sales Revenue,6598.65,income
34,Salary Expense,94893.67,expense
35,Service Income,96566.64,income
36,Sales Revenue,80858.9,income
37,Sales Revenue,30530.92,income
38,Inventory,9857.44,asset
39,Interest Income,68454.88,income
40,Rent Expense,44071.23,expense
41,Salary Expense,12291.62,expense
42,Rent Expense,49568.17,expense
43,Service Income,3535.41,income
44,Equipment,90941.11,asset
45,Equipment,25952.12,asset
46,Service Income,66285.98,income
47,Interest Income,31239.94,income
48,Accounts Payable,52054.8,liability
49,Tax Payable,54716.36,liability
50,Tax Payable,18566.96,liability
51,Loan Payable,96961.5,liability
52,Prepaid Expense,77535.77,asset
53,Accounts Receivable,93955.94,asset
54,Service Income,89493.25,income
55,Interest Income,59830.21,income
56,Accounts Payable,invalid,liability
57,Equipment,8940.4,asset
58,Sales Revenue,19678.69,income
59,Accounts Payable,4618.21,liability
60,Rent Expense,32600.5,expense
61,Accrued Expenses,38928.86,liability
62,,27207.77,liability
63,Salary Expense,82890.88,expense
64,Accounts Payable,35739.66,liability
65,Rent Expense,28165.36,expense
66,Prepaid Expense,54315.34,asset
67,Sales Revenue,14178.33,income
68,Interest Income,80239.48,income
69,Inventory,7547.61,asset
70,Salary Expense,98690.0,expense
71,Inventory,77247.25,asset
72,Interest Income,19951.7,income
73,Accounts Receivable,651.66,asset
74,Marketing Expense,81564.6,expense
75,Accounts Receivable,70715.05,asset
76,Accounts Receivable,72927.82,asset
77,Rent Expense,77149.91,expense
78,Sales Revenue,7497.06,income
79,Utility Expense,35910.73,expense
80,Tax Payable,11675.32,liability
81,Interest Income,86324.03,income
82,Interest Income,62367.48,income
83,Equipment,33156.71,asset
84,Utility Expense,6449.48,expense
85,Salary Expense,31167.13,expense
86,Utility Expense,32585.81,expense
87,Utility Expense,72987.66,expense
88,Accrued Expenses,63791.99,liability
89,Salary Expense,88732.55,expense
90,Accrued Expenses,47274.27,liability
91,Interest Income,12047.47,income
92,Utility Expense,71353.15,expense
93,Tax Payable,76102.43,liability
94,Loan Payable,56171.59,liability
95,Utility Expense,77119.62,expense
96,Accrued Expenses,49430.18,liability
97,Salary Expense,52321.01,expense
98,Equipment,42811.35,asset
99,Accrued Expenses,2639.37,liability
100,Prepaid Expense,10878.35,asset
101,Tax Payable,3239.78,liability
102,Prepaid Expense,63677.4,asset
103,Prepaid Expense,31504.16,asset
104,Sales Revenue,50906.21,income
105,Utility Expense,90765.89,expense
106,Utility Expense,25004.29,expense
107,Interest Income,41097.25,income
108,Rent Expense,75579.56,expense
109,Accounts Payable,22956.94,liability
110,Tax Payable,7790.29,liability
111,Rent Expense,29046.17,expense
112,Salary Expense,16206.01,expense
113,Interest Income,92976.8,income
114,Loan Payable,80831.23,liability
115,Accrued Expenses,63377.04,liability
116,Accrued Expenses,87158.91,liability
117,Tax Payable,80386.84,liability
118,Accrued Expenses,18738.35,liability
119,Loan Payable,89266.64,liability
120,Prepaid Expense,53980.29,asset
121,Salary Expense,80763.27,expense
122,Accounts Payable,89619.52,liability
123,Marketing Expense,31868.55,expense
124,Accrued Expenses,11094.19,liability
125,Cash,22870.72,asset
126,Interest Income,42768.07,income
127,Interest Income,81819.68,income
128,Accounts Receivable,86086.99,asset
129,Interest Income,794.52,income
130,Accounts Receivable,51123.66,asset
131,Loan Payable,41799.36,liability
132,Sales Revenue,22288.57,income
133,Salary Expense,12074.55,expense
134,Rent Expense,33827.76,expense
135,Cash,94296.68,asset
136,Service Income,32387.97,income
137,,51927.18,liability
