description,amount,category
Interest Credit,9959.93,income
Stock Purchase,3236.19,asset
Swiggy Order,5503.33,expense
Loan EMI,3034.87,liability
Amazon Purchase,4958.74,expense
Gold Investment,1127.92,asset
Freelance Payment,8105.24,income
Freelance Payment,616.93,income
Electricity Bill,3543.16,expense
Uber Ride,8284.66,expense
Loan EMI,1689.17,liability
Home Loan Interest,9872.01,liability
FD Deposit,9481.24,asset
FD Deposit,3779.83,asset
Swiggy Order,3403.85,expense
Freelance Payment,3651.37,income
Interest Credit,1217.16,income
Freelance Payment,7157.75,income
Mutual Fund Investment,586.82,asset
Home Loan Interest,9809.35,liability
Mutual Fund Investment,2211.13,asset
Mutual Fund Investment,8178.89,asset
Interest Credit,2642.06,income
Loan EMI,5353.49,liability
Electricity Bill,5723.6,expense
Home Loan Interest,3479.16,liability
Loan EMI,9518.96,liability
Interest Credit,5447.47,income
Salary Credit,9285.83,income
Loan EMI,8937.07,liability
Salary Credit,1703.77,income
Mutual Fund Investment,4087.28,asset
Uber Ride,4109.76,expense
Credit Card Bill,6129.77,liability
Bonus Received,288.48,income
Uber Ride,1042.69,expense
Uber Ride,7450.37,expense
Uber Ride,3663.51,expense
Car Loan EMI,7189.9,liability
Electricity Bill,9484.49,expense
Swiggy Order,3370.61,expense
Gold Investment,5884.42,asset
Amazon Purchase,9652.79,expense
Mutual Fund Investment,1726.16,asset
Car Loan EMI,6416.74,liability
Interest Credit,3592.33,income
Stock Purchase,8153.94,asset
Freelance Payment,8374.98,income
Home Loan Interest,6052.23,liability
Mutual Fund Investment,635.99,asset
FD Deposit,4560.85,asset
Car Loan EMI,8249.16,liability
Home Loan Interest,5602.59,liability
Amazon Purchase,2411.57,expense
Credit Card Bill,8067.67,liability
Salary Credit,6525.29,income
FD Deposit,6223.21,asset
Loan EMI,4629.06,liability
FD Deposit,7157.08,asset
Gold Investment,2126.42,asset
Gold Investment,8722.45,asset
Amazon Purchase,8353.88,expense
Interest Credit,9051.88,income
Stock Purchase,6600.14,asset
Credit Card Bill,8337.41,liability
Uber Ride,711.24,expense
Credit Card Bill,1104.09,liability
Car Loan EMI,8149.6,liability
Bonus Received,9352.05,income
FD Deposit,1431.13,asset
Bonus Received,4527.54,income
Car Loan EMI,2090.23,liability
Amazon Purchase,8832.9,expense
Car Loan EMI,4845.04,liability
Loan EMI,4780.28,liability
Car Loan EMI,8380.23,liability
Stock Purchase,6581.0,asset
Loan EMI,2702.05,liability
Uber Ride,6996.16,expense
Credit Card Bill,7267.82,liability
Swiggy Order,358.97,expense
Interest Credit,8147.59,income
Amazon Purchase,9362.75,expense
Gold Investment,1132.25,asset
Salary Credit,9934.64,income
Salary Credit,8647.3,income
Uber Ride,9267.51,expense
Freelance Payment,8665.01,income
Electricity Bill,2402.34,expense
Stock Purchase,104.54,asset
Interest Credit,2559.33,income
Freelance Payment,3732.11,income
Car Loan EMI,3497.87,liability
Loan EMI,4699.11,liability
Credit Card Bill,4210.94,liability
Home Loan Interest,7294.39,liability
Uber Ride,3454.15,expense
Bonus Received,6874.96,income
Interest Credit,5738.12,income
Salary Credit,839.85,income
Electricity Bill,4053.52,expense
Credit Card Bill,2861.11,liability
Home Loan Interest,8631.34,liability
FD Deposit,6915.71,asset
Home Loan Interest,5397.23,liability
Freelance Payment,3896.3,income
Stock Purchase,5725.91,asset
FD Deposit,8759.17,asset
Home Loan Interest,3277.96,liability
Bonus Received,8968.88,income
Stock Purchase,1062.46,asset
Amazon Purchase,8158.41,expense
Electricity Bill,1079.49,expense
Home Loan Interest,224.53,liability
Amazon Purchase,2094.01,expense
Salary Credit,7783.07,income
FD Deposit,6302.53,asset
Swiggy Order,1574.66,expense
Amazon Purchase,5519.4,expense
Stock Purchase,2378.64,asset
Swiggy Order,4911.06,expense
Bonus Received,7579.09,income
Credit Card Bill,8484.23,liability
Freelance Payment,4117.47,income
Credit Card Bill,1715.5,liability
Credit Card Bill,6193.11,liability
Salary Credit,1240.35,income
FD Deposit,4049.28,asset
Stock Purchase,9589.21,asset
Swiggy Order,3648.13,expense
FD Deposit,5563.55,asset
Salary Credit,8044.04,income
Salary Credit,9359.33,income
Stock Purchase,2255.86,asset
Salary Credit,4855.94,income
Gold Investment,9935.95,asset
FD Deposit,6434.53,asset
Gold Investment,2484.97,asset
Gold Investment,9972.15,asset
Salary Credit,8005.29,income
Loan EMI,3038.21,liability
Salary Credit,414.0,income
Swiggy Order,1201.41,expense
Gold Investment,9012.19,asset
FD Deposit,3975.61,asset
Bonus Received,347.09,income
Salary Credit,4962.44,income
Swiggy Order,1449.48,expense
Swiggy Order,4108.64,expense
Electricity Bill,2119.33,expense
Electricity Bill,4578.74,expense
Freelance Payment,6128.14,income
Stock Purchase,5649.01,asset
Amazon Purchase,8574.38,expense
Credit Card Bill,2371.84,liability
Interest Credit,4194.6,income
Freelance Payment,8653.88,income
Loan EMI,4463.46,liability
Freelance Payment,6532.99,income
Home Loan Interest,3506.91,liability
Electricity Bill,6638.06,expense
Gold Investment,3515.35,asset
Swiggy Order,3814.22,expense
Loan EMI,2011.47,liability
Swiggy Order,6333.57,expense
Electricity Bill,2868.58,expense
Electricity Bill,4037.27,expense
Swiggy Order,9185.91,expense
Stock Purchase,2440.47,asset
Interest Credit,7817.18,income
Loan EMI,5363.26,liability
Interest Credit,6100.16,income
Freelance Payment,3585.98,income
Salary Credit,2503.79,income
Bonus Received,3182.74,income
Freelance Payment,8871.71,income
Gold Investment,898.54,asset
Electricity Bill,5376.98,expense
Credit Card Bill,9726.01,liability
Loan EMI,4584.13,liability
Salary Credit,427.19,income
Home Loan Interest,9641.83,liability
Bonus Received,9909.37,income
Swiggy Order,4935.97,expense
Uber Ride,3101.02,expense
Salary Credit,6885.81,income
Car Loan EMI,1728.35,liability
Amazon Purchase,3545.65,expense
Freelance Payment,8073.82,income
Amazon Purchase,9611.54,expense
Swiggy Order,6182.63,expense
Swiggy Order,4146.66,expense
Freelance Payment,9695.1,income
Home Loan Interest,2051.35,liability
Interest Credit,5263.13,income
Home Loan Interest,6815.56,liability
Credit Card Bill,6292.95,liability
Interest Credit,4564.54,income
Uber Ride,8080.08,expense
Car Loan EMI,8770.5,liability
Bonus Received,7435.85,income
Home Loan Interest,8699.44,liability
Uber Ride,3461.39,expense
Interest Credit,5000.89,income
Salary Credit,3625.84,income
Bonus Received,2864.89,income
Freelance Payment,9702.31,income
Credit Card Bill,8708.34,liability
Bonus Received,7994.23,income
Electricity Bill,2499.39,expense
Credit Card Bill,6151.23,liability
Mutual Fund Investment,533.28,asset
Home Loan Interest,1691.02,liability
Amazon Purchase,2790.29,expense
Mutual Fund Investment,2895.7,asset
Bonus Received,4830.68,income
Salary Credit,4885.04,income
Salary Credit,6756.32,income
Freelance Payment,8153.26,income
Interest Credit,4039.32,income
Salary Credit,5619.67,income
Credit Card Bill,3449.1,liability
Swiggy Order,9030.93,expense
Gold Investment,5044.32,asset
Car Loan EMI,7223.41,liability
Interest Credit,7534.99,income
Uber Ride,2748.64,expense
Gold Investment,4531.08,asset
Uber Ride,5455.65,expense
FD Deposit,5477.99,asset
Loan EMI,864.52,liability
Car Loan EMI,6332.75,liability
Electricity Bill,7686.6,expense
Stock Purchase,2258.07,asset
Amazon Purchase,4714.22,expense
Loan EMI,6323.68,liability
Credit Card Bill,3194.87,liability
Loan EMI,1121.65,liability
Mutual Fund Investment,2950.78,asset
Swiggy Order,4488.52,expense
Car Loan EMI,6253.41,liability
Interest Credit,2542.41,income
Car Loan EMI,3375.98,liability
Interest Credit,6913.46,income
Bonus Received,6223.97,income
Mutual Fund Investment,7505.98,asset
Interest Credit,2611.83,income
Mutual Fund Investment,988.61,asset
Electricity Bill,7508.73,expense
Freelance Payment,2159.29,income
Loan EMI,4584.01,liability
Electricity Bill,4324.94,expense
Swiggy Order,9302.1,expense
Bonus Received,7762.33,income
Mutual Fund Investment,5829.39,asset
Uber Ride,6054.76,expense
Interest Credit,4365.1,income
Bonus Received,963.32,income
Uber Ride,6232.96,expense
Stock Purchase,2680.32,asset
Gold Investment,6159.06,asset
Gold Investment,3050.62,asset
Home Loan Interest,4205.38,liability
Car Loan EMI,4183.0,liability
Freelance Payment,9544.29,income
Loan EMI,6028.41,liability
Amazon Purchase,9119.09,expense
Interest Credit,6661.87,income
Home Loan Interest,6001.09,liability
Bonus Received,855.61,income
Gold Investment,1097.54,asset
Uber Ride,9916.67,expense
Freelance Payment,7521.18,income
Bonus Received,4899.57,income
Amazon Purchase,3005.19,expense
Stock Purchase,4267.57,asset
Stock Purchase,3804.9,asset
Amazon Purchase,7795.71,expense
Salary Credit,1912.03,income
FD Deposit,9821.84,asset
Mutual Fund Investment,6407.86,asset
Salary Credit,4252.69,income
Gold Investment,8264.45,asset
Stock Purchase,5406.84,asset
Amazon Purchase,6690.92,expense
Bonus Received,8398.94,income
Salary Credit,8285.31,income
Swiggy Order,5711.64,expense
Bonus Received,7640.39,income
Home Loan Interest,2208.8,liability
Freelance Payment,4893.25,income
Interest Credit,1503.88,income
Swiggy Order,944.98,expense
Car Loan EMI,8067.58,liability
Credit Card Bill,4396.95,liability
FD Deposit,7350.24,asset
Loan EMI,5113.19,liability
Freelance Payment,1771.58,income
Home Loan Interest,9420.14,liability
Home Loan Interest,8985.58,liability
Swiggy Order,1269.94,expense
Bonus Received,1199.78,income
Swiggy Order,1342.59,expense
Loan EMI,9814.7,liability
Home Loan Interest,2955.53,liability
Amazon Purchase,7198.23,expense
Interest Credit,5629.16,income
Electricity Bill,670.48,expense
Car Loan EMI,1930.67,liability
FD Deposit,5238.67,asset
Interest Credit,830.7,income
Freelance Payment,3452.57,income
Gold Investment,5579.82,asset
Car Loan EMI,3018.7,liability
Bonus Received,9014.93,income
Amazon Purchase,2440.56,expense
Credit Card Bill,2136.92,liability
Salary Credit,4264.42,income
FD Deposit,3188.08,asset
Stock Purchase,445.02,asset
Stock Purchase,8812.57,asset
Bonus Received,3337.35,income
Amazon Purchase,3076.82,expense
Amazon Purchase,5407.93,expense
Home Loan Interest,883.97,liability
Swiggy Order,9837.38,expense
Uber Ride,8899.43,expense
Electricity Bill,2488.61,expense
Salary Credit,1460.14,income
Bonus Received,1130.43,income
Freelance Payment,2634.12,income
Gold Investment,2798.6,asset
Stock Purchase,6518.83,asset
Amazon Purchase,3009.97,expense
Car Loan EMI,1935.17,liability
Amazon Purchase,9879.1,expense
Gold Investment,1257.76,asset
Salary Credit,422.04,income
Car Loan EMI,5528.56,liability
Amazon Purchase,1929.58,expense
FD Deposit,2497.1,asset
Electricity Bill,9475.5,expense
Mutual Fund Investment,611.61,asset
Electricity Bill,5767.79,expense
Salary Credit,9546.11,income
Interest Credit,4093.01,income
Credit Card Bill,5732.1,liability
FD Deposit,3181.38,asset
Mutual Fund Investment,2748.62,asset
FD Deposit,2198.99,asset
Freelance Payment,9011.58,income
Electricity Bill,8306.32,expense
Bonus Received,9810.86,income
FD Deposit,4628.22,asset
Electricity Bill,831.79,expense
Stock Purchase,5977.05,asset
Car Loan EMI,4001.94,liability
