Date,Description,Amount,txn_id,remarks,ref_no,Narration
12-07-2023,client payment received,62648.52,TXN57257,,710142,
02-12-2023,,39578.8,TXN69070,ok,165012,Netflix subscription
05-02-2023,Netflix subscription,292.15,TXN13599,,468083,
26-07-2023,,69403.4,TXN62798,,109966,Gym membership
24-08-2023,client payment received,91870.87,TXN27727,ok,348652,
11-06-2023,Consulting income,26438.17,TXN30124,,386911,
16-07-2023,Gym membership,92294.93,TXN86633,,508917,
29-11-2023,Amazon order,65426.89,TXN14004,ok,780761,
08-05-2023,Freelanceincome,75647.45,TXN37019,ok,978373,
03-08-2023,freelance income,57293.26,TXN17904,ok,226031,
16-04-2023,,18261.85,TXN41618,ok,146878,Insurance premium
10-07-2023,Internet bill,89601.53,TXN12670,,733938,
30-04-2023,Gym membership,5382.88,TXN72525,,520870,
26-05-2023,,93916.61,TXN19391,,575324,Rent payment
15-05-2023,Bonus received,50266.78,TXN65792,ok,570532,
28-10-2023,,,TXN30871,ok,756973,netflix subscription
19-04-2023,,77416.24,TXN13901,,700665,Amazon order
30-04-2023,Amazon order,94036.14,TXN21697,ok,278333,
26-08-2023,Bonus received,71370.6,TXN86619,,168740,
05-04-2023,electricitybill,8104.91,TXN42518,ok,219730,
29-07-2023,,39462.07,TXN89471,ok,320934,Salary credited
07-05-2023,Gym membership,26911.27,TXN43812,ok,688843,
03-03-2023,Consulting income,26207.41,TXN94098,ok,906547,
20-04-2023,loan emi,36703.83,TXN31214,ok,280007,
12-05-2023,electricity bill,37969.11,TXN81594,ok,637727,
23-11-2023,Salary credited,94587.57,TXN54926,ok,542760,
15-08-2023,,46652.74,TXN71059,ok,284589,Mobile recharge
19-08-2023,Salary credited,73221.32,TXN34899,ok,523516,
27-06-2023,Office supplies,68597.61,TXN83543,ok,600436,
27-03-2023,Netflix subscription,5186.79,TXN14376,ok,120942,
27-06-2023,electricity bill,88829.75,TXN23015,ok,360407,
20-03-2023,Netflix subscription,49968.72,TXN79139,,399154,
18-02-2023,Loan EMI,7534.81,TXN94592,,627581,
01-09-2023,office supplies,50620.89,TXN60425,ok,384453,
15-10-2023,Bonus received,90051.24,TXN40431,ok,547105,
